,fiat_reserve,investors_money,overhead_cost,product_cost,revenue,run,substep,time,timestep,tx_volume
150,-156188.00270261508,3142.866270582765,10380.0,0.05640404373594281,2270.8729834773526,1,2,2018-02-08 00:00:00,38,42.87420821254737
151,-153045.1364320323,3142.866270582765,10380.0,0.05640404373594281,2270.8729834773526,1,3,2018-02-08 00:00:00,38,42.87420821254737
152,-163425.1364320323,3142.866270582765,10380.0,0.05640404373594281,2270.8729834773526,1,4,2018-02-08 00:00:00,38,42.87420821254737
153,-163425.1364320323,3048.580282465282,10390.0,0.1567632419101937,2270.8729834773526,1,1,2018-02-09 00:00:00,39,44.67764321127565
154,-163313.4423240041,3048.580282465282,10390.0,0.1567632419101937,2382.5670915055416,1,2,2018-02-09 00:00:00,39,44.67764321127565
155,-160264.8620415388,3048.580282465282,10390.0,0.1567632419101937,2382.5670915055416,1,3,2018-02-09 00:00:00,39,44.67764321127565
156,-170654.8620415388,3048.580282465282,10390.0,0.1567632419101937,2382.5670915055416,1,4,2018-02-09 00:00:00,39,44.67764321127565
157,-170654.8620415388,2957.1228739913236,10400.0,0.11824283831618099,2382.5670915055416,1,1,2018-02-10 00:00:00,40,46.584721467655214
158,-170538.40023786968,2957.1228739913236,10400.0,0.11824283831618099,2499.0288951746797,1,2,2018-02-10 00:00:00,40,46.584721467655214
159,-167581.27736387835,2957.1228739913236,10400.0,0.11824283831618099,2499.0288951746797,1,3,2018-02-10 00:00:00,40,46.584721467655214
160,-177981.27736387835,2957.1228739913236,10400.0,0.11824283831618099,2499.0288951746797,1,4,2018-02-10 00:00:00,40,46.584721467655214
161,-177981.27736387835,2868.4091877715837,10410.0,0.20059351084671048,2499.0288951746797,1,1,2018-02-11 00:00:00,41,47.62840516869561
162,-177862.2063509566,2868.4091877715837,10410.0,0.20059351084671048,2618.099908096419,1,2,2018-02-11 00:00:00,41,47.62840516869561
163,-174993.79716318502,2868.4091877715837,10410.0,0.20059351084671048,2618.099908096419,1,3,2018-02-11 00:00:00,41,47.62840516869561
164,-185403.79716318502,2868.4091877715837,10410.0,0.20059351084671048,2618.099908096419,1,4,2018-02-11 00:00:00,41,47.62840516869561
165,-185403.79716318502,2782.356912138436,10420.0,0.18924772273543586,2618.099908096419,1,1,2018-02-12 00:00:00,42,50.60239152439677
166,-185277.29118437404,2782.356912138436,10420.0,0.18924772273543586,2744.605886907411,1,2,2018-02-12 00:00:00,42,50.60239152439677
167,-182494.9342722356,2782.356912138436,10420.0,0.18924772273543586,2744.605886907411,1,3,2018-02-12 00:00:00,42,50.60239152439677
168,-192914.9342722356,2782.356912138436,10420.0,0.18924772273543586,2744.605886907411,1,4,2018-02-12 00:00:00,42,50.60239152439677
169,-192914.9342722356,2698.886204774283,10430.0,0.17898268723199834,2744.605886907411,1,1,2018-02-13 00:00:00,43,53.50609892184803
170,-192781.16902493098,2698.886204774283,10430.0,0.17898268723199834,2878.371134212031,1,2,2018-02-13 00:00:00,43,53.50609892184803
171,-190082.2828201567,2698.886204774283,10430.0,0.17898268723199834,2878.371134212031,1,3,2018-02-13 00:00:00,43,53.50609892184803
172,-200512.2828201567,2698.886204774283,10430.0,0.17898268723199834,2878.371134212031,1,4,2018-02-13 00:00:00,43,53.50609892184803
173,-200512.2828201567,2617.9196186310546,10440.0,0.2888488098721833,2878.371134212031,1,1,2018-02-14 00:00:00,44,56.57234412773322
174,-200370.85195983737,2617.9196186310546,10440.0,0.2888488098721833,3019.801994531364,1,2,2018-02-14 00:00:00,44,56.57234412773322
175,-197752.93234120632,2617.9196186310546,10440.0,0.2888488098721833,3019.801994531364,1,3,2018-02-14 00:00:00,44,56.57234412773322
176,-208192.93234120632,2617.9196186310546,10440.0,0.2888488098721833,3019.801994531364,1,4,2018-02-14 00:00:00,44,56.57234412773322
177,-208192.93234120632,2539.3820300721227,10450.0,0.20267538213839906,3019.801994531364,1,1,2018-02-15 00:00:00,45,57.3103015260483
178,-208049.6565873912,2539.3820300721227,10450.0,0.20267538213839906,3163.077748346485,1,2,2018-02-15 00:00:00,45,57.3103015260483
179,-205510.27455731906,2539.3820300721227,10450.0,0.20267538213839906,3163.077748346485,1,3,2018-02-15 00:00:00,45,57.3103015260483
180,-215960.27455731906,2539.3820300721227,10450.0,0.20267538213839906,3163.077748346485,1,4,2018-02-15 00:00:00,45,57.3103015260483
181,-215960.27455731906,2463.2005691699587,10460.0,0.2114806984329181,3163.077748346485,1,1,2018-02-16 00:00:00,46,61.605376841940135
182,-215806.2611152142,2463.2005691699587,10460.0,0.2114806984329181,3317.091190451335,1,2,2018-02-16 00:00:00,46,61.605376841940135
183,-213343.06054604426,2463.2005691699587,10460.0,0.2114806984329181,3317.091190451335,1,3,2018-02-16 00:00:00,46,61.605376841940135
184,-223803.06054604426,2463.2005691699587,10460.0,0.2114806984329181,3317.091190451335,1,4,2018-02-16 00:00:00,46,61.605376841940135
185,-223803.06054604426,2389.30455209486,10470.0,0.19964089773913596,3317.091190451335,1,1,2018-02-17 00:00:00,47,63.59900841737189
186,-223644.06302500083,2389.30455209486,10470.0,0.19964089773913596,3476.0887114947645,1,2,2018-02-17 00:00:00,47,63.59900841737189
187,-221254.75847290596,2389.30455209486,10470.0,0.19964089773913596,3476.0887114947645,1,3,2018-02-17 00:00:00,47,63.59900841737189
188,-231724.75847290596,2389.30455209486,10470.0,0.19964089773913596,3476.0887114947645,1,4,2018-02-17 00:00:00,47,63.59900841737189
189,-231724.75847290596,2317.625415532014,10480.0,0.11359822155973706,3476.0887114947645,1,1,2018-02-18 00:00:00,48,64.6776959592387
190,-231563.06423300787,2317.625415532014,10480.0,0.11359822155973706,3637.7829513928614,1,2,2018-02-18 00:00:00,48,64.6776959592387
191,-229245.43881747586,2317.625415532014,10480.0,0.11359822155973706,3637.7829513928614,1,3,2018-02-18 00:00:00,48,64.6776959592387
192,-239725.43881747586,2317.625415532014,10480.0,0.11359822155973706,3637.7829513928614,1,4,2018-02-18 00:00:00,48,64.6776959592387
